0.0001

Mayor 20                   y = 1.0000000000 + 0.0000000000 x
8   hasta 20               y = 9.998090e-01 + 1.164729e-05 x
3   hasta 8                y = 9.515608e-01 + 7.052456e-03 x
1   hasta 3                y = 6.505156e-01 + 1.085730e-01 x

-1 hasta 1                 y = 5.000000e-01 + 2.383269e-01 x
-1.5 hasta -1.0            y = 4.400242e-01 + 1.730615e-01 x
-2 hasta -1.5              y = 3.700300e-01 + 1.263195e-01 x
-2.5 hasta -2              y = 2.907408e-01 + 8.651731e-02 x

-3 hasta -2.5              y = 2.165560e-01 + 5.670946e-02 x
-3.5 hasta -3              y = 1.550311e-01 + 3.610986e-02 x
-4 hasta -3.5              y = 1.078423e-01 + 2.257099e-02 x
-4.5 hasta 4               y = 7.347256e-02 + 1.394544e-02 x

-5   hasta -4.5            y = 4.929851e-02 + 8.554460e-03 x
-5.5 hasta -5              y = 3.270190e-02 + 5.224394e-03 x
-6.0 hasta -5.5            y = 2.150235e-02 + 3.182056e-03 x
-6.5  hasta -6.0           y = 1.404009e-02 + 1.934933e-03 x

-7.0  hasta -6.5           y = 9.115716e-03 + 1.175411e-03 x
-7.5  hasta -7.0           y = 5.890612e-03 + 7.135917e-04 x
-8.0  hasta -7.5           y = 3.791279e-03 + 4.330616e-04 x
-8.5  hasta -8.0           y = 2.431654e-03 + 2.627558e-04 x

-9.0  hasta -8.5           y = 1.554867e-03 + 1.594028e-04 x
-9.5  hasta -9.0           y = 9.915354e-04 + 9.669499e-05 x
-10.0  hasta -9.5          y = 6.307672e-04 + 5.865300e-05 x
-10.5  hasta -10.0         y = 4.003850e-04 + 3.557650e-05 x

-11.0  hasta -10.5         y = 2.536418e-04 + 2.157885e-05 x
-11.5  hasta -11.0         y = 1.603883e-04 + 1.308846e-05 x
-12.0  hasta -11.5         y = 1.012507e-04 + 7.938636e-06 x
-12.5  hasta -12.0         y = 6.381955e-05 + 4.815056e-06 x

-13.0  hasta -12.5         y = 4.016890e-05 + 2.920490e-06 x    
-13.5  hasta -13.0         y = 2.524941e-05 + 1.771371e-06 x
-14.0  hasta -13.5         y = 1.585176e-05 + 1.074392e-06 x
Menor   -14.0              y = 0.0000000000 + 0.0000000000 x  
